Molecule Name,CDD Number,CXSMILES (CDD Compatible),SMILES,Batch Name,Batch Molecule-Batch ID,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0020651,"",O=C(CCl)N1CCN(S(=O)(=O)C2=C(Cl)C=C(Br)C=C2Cl)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2c(Cl)cc(Br)cc2Cl)CC1,001,CVD-0020651-001,"","",0.367,0.343,0.392,1.56,1.1
CVD-0020650,"",O=C(CCl)N1CCN(S(=O)(=O)C2=CC=CC3=CC=CC=C23)CC1,ClCC(=O)N1CCN(S(=O)(=O)c2cccc3ccccc23)CC1,001,CVD-0020650-001,"","",1.02,0.932,1.11,1.25,1.1
CVD-0020649,"",O=C(CCl)N1CCN(C(=O)C2=CC=C(Cl)C=C2)CC1,ClCC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1,001,CVD-0020649-001,"","",21.5,19.6,23.5,1.39,1.1
CVD-0020648,"",O=C(CCl)N1CCN(C(=O)C2=CC=C3C=CC=CC3=C2)CC1,ClCC(=O)N1CCN(C(=O)c2ccc3ccccc3c2)CC1,001,CVD-0020648-001,"","",2.83,2.58,3.10,1.30,1.1
CVD-0020647,"",O=C(CCl)N1CCN(C(=O)C2=CC=C(F)C=C2)CC1,Fc1ccc(C(=O)N2CCN(C(=O)CCl)CC2)cc1,001,CVD-0020647-001,"","",1.77,1.65,1.90,1.39,1.1
CVD-0020645,CDD-1605070,O=C1C2=C(N=C(O)N1C1=CC=CC(Cl)=C1)SC(C1=CC=CC=C1)=C2,Oc1nc2sc(-c3ccccc3)cc2c(=O)n1-c1cccc(Cl)c1,001,CVD-0020645-001,"",Oc1nc2sc(cc2c(=O)n1-c1cccc(Cl)c1)-c1ccccc1,> 99.5,"","",0.739,4
CVD-0020644,CDD-2370496,CN1C(=O)N(C2=CC(Cl)=CC(Cl)=C2)C(=O)[C@@]1(C)CC1=CC=C(Br)C=C1,CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@@]1(C)Cc1ccc(Br)cc1,001,CVD-0020644-001,"",CN1C(=O)N(C(=O)[C@@]1(C)Cc1ccc(Br)cc1)c1cc(Cl)cc(Cl)c1,> 99.5,"","",0.596,3
CVD-0020643,CDD-784212,O=C(CN1C(=O)C2=CC=CC=C2S1(=O)=O)NC1=CC=C(O)C=C1,Oc1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,001,CVD-0020643-001,"",Oc1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,> 99.5,"","",-10.2,4
CVD-0020642,CDD-1352079,O=C(C1=CC=CC=N1)C1=C2N=CC=C(C3=CC=NC=C3)N2N=C1,O=C(c1cnn2c(-c3ccncc3)ccnc12)c1ccccn1,001,CVD-0020642-001,"",O=C(c1cnn2c(ccnc12)-c1ccncc1)c1ccccn1,> 99.5,"","","",""
CVD-0020641,CDD-1350878,N#C/C(=C1/SCC(C2=CC=CC=C2Cl)S1)N1C=CN=C1,Clc1ccccc1C1CS/C(=C(/C#N)n2ccnc2)S1,001,CVD-0020641-001,"",Clc1ccccc1C1CS\C(S1)=C(\C#N)n1ccnc1,> 99.5,"","",0.935,2.3
CVD-0020640,CDD-1352022,CN1C2=C(OC(=O)N(C3=CC=CC=N3)C2=O)C2=CC=CC=C2S1(=O)=O,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,001,CVD-0020640-001,"",CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,> 99.5,"","",1.44,3
CVD-0020639,CDD-2163044,CC[C@H](NC(=O)C1=C(O)C(C2=CC=CC=C2)=NC2=CC=CC=C12)C1=CC=CC=C1,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,001,CVD-0020639-001,"",CC[C@H](NC(=O)c1c(O)c(nc2ccccc12)-c1ccccc1)c1ccccc1,> 99.5,"","",0.714,2.1
