Complex_ID,Compound_ID,Crystal_ID,Chain_ID,MCSS_Rank,SDF_Filename,Reference_SDF,POSIT,Chemgauss4,RMSD
ADA-UCB-6c2cb422-1_Mpro-P0764_0A_1,ADA-UCB-6c2cb422-1,Mpro-P0764,0A,1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0764_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_1_1.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,17.041128,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2028_0B_0,ADA-UCB-6c2cb422-1,Mpro-P2028,0B,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,-9.152148,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2185_0B_9,ADA-UCB-6c2cb422-1,Mpro-P2185,0B,9,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2185_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_9.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.85,-9.470764,-1.0
ADA-UCB-6c2cb422-1_Mpro-P0394_0A_2,ADA-UCB-6c2cb422-1,Mpro-P0394,0A,2,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0394_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_2_2.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.23999999463558197,-7.758053,4.204701910050059
ADA-UCB-6c2cb422-1_Mpro-P2205_0A_7,ADA-UCB-6c2cb422-1,Mpro-P2205,0A,7,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2205_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_7_7.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.41999998688697815,-4.411364,2.296364051669354
ADA-UCB-6c2cb422-1_Mpro-P2205_0A_7,ADA-UCB-6c2cb422-1,Mpro-P2205,0A,7,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2205_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_7.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.23000000417232513,-7.522447,-1.0
ADA-UCB-6c2cb422-1_Mpro-P0764_0B_1,ADA-UCB-6c2cb422-1,Mpro-P0764,0B,1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0764_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_1.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,-7.154842,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2210_0A_6,ADA-UCB-6c2cb422-1,Mpro-P2210,0A,6,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2210_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_6_6.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,16.179596,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2005_0A_-1,ADA-UCB-6c2cb422-1,Mpro-P2005,0A,-1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2005_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.91,-8.481549,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2185_0B_9,ADA-UCB-6c2cb422-1,Mpro-P2185,0B,9,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2185_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_9_9.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.41999998688697815,-7.956114,1.897034686292213
ADA-UCB-6c2cb422-1_Mpro-P2141_0A_5,ADA-UCB-6c2cb422-1,Mpro-P2141,0A,5,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2141_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_5_5.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.18000000715255737,-5.408215,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2185_0A_9,ADA-UCB-6c2cb422-1,Mpro-P2185,0A,9,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2185_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_9_9.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.85,16.324339,-1.0
ADA-UCB-6c2cb422-1_Mpro-P0764_0B_1,ADA-UCB-6c2cb422-1,Mpro-P0764,0B,1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0764_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_1_1.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.23999999463558197,-7.880048,3.1293636785059595
ADA-UCB-6c2cb422-1_Mpro-P2028_1A_0,ADA-UCB-6c2cb422-1,Mpro-P2028,1A,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_1A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,16.064796,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2028_0A_0,ADA-UCB-6c2cb422-1,Mpro-P2028,0A,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,16.064796,-1.0
ADA-UCB-6c2cb422-1_Mpro-P0098_0A_3,ADA-UCB-6c2cb422-1,Mpro-P0098,0A,3,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0098_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_3_3.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.85,18.198183,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2028_1A_0,ADA-UCB-6c2cb422-1,Mpro-P2028,1A,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_1A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_0_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.23999999463558197,13.435084,7.834881784775132
ADA-UCB-6c2cb422-1_Mpro-P2176_0A_4,ADA-UCB-6c2cb422-1,Mpro-P2176,0A,4,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2176_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_4_4.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.23999999463558197,-7.893992,2.808600586268518
ADA-UCB-6c2cb422-1_Mpro-P2176_0A_4,ADA-UCB-6c2cb422-1,Mpro-P2176,0A,4,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2176_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_4.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.18000000715255737,-6.695166,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2028_1B_0,ADA-UCB-6c2cb422-1,Mpro-P2028,1B,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_1B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_0_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,-9.152148,-1.0
ADA-UCB-6c2cb422-1_Mpro-P0394_0A_2,ADA-UCB-6c2cb422-1,Mpro-P0394,0A,2,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0394_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_2.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.18000000715255737,-6.726860,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2028_0A_0,ADA-UCB-6c2cb422-1,Mpro-P2028,0A,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_0_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.23999999463558197,13.435084,7.834881784775132
ADA-UCB-6c2cb422-1_Mpro-P2218_0A_8,ADA-UCB-6c2cb422-1,Mpro-P2218,0A,8,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2218_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_8_8.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.89,-9.934638,-1.0
ADA-UCB-6c2cb422-1_Mpro-P2210_0B_6,ADA-UCB-6c2cb422-1,Mpro-P2210,0B,6,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2210_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_6_6.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,-8.810789,-1.0
