Complex_ID,Compound_ID,Crystal_ID,Chain_ID,MCSS_Rank,SDF_Filename,Reference_SDF,POSIT,Chemgauss4,RMSD
ADA-UCB-6c2cb422-1_Mpro-P2028_0B_0,ADA-UCB-6c2cb422-1,Mpro-P2028,0B,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,-9.152148,2.7219658922411494
ADA-UCB-6c2cb422-1_Mpro-P2185_0B_9,ADA-UCB-6c2cb422-1,Mpro-P2185,0B,9,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2185_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_9.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.85,-9.470764,2.748057673550887
ADA-UCB-6c2cb422-1_Mpro-P0764_0A_1,ADA-UCB-6c2cb422-1,Mpro-P0764,0A,1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0764_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_1.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,17.041128,3.0450088306110543
ADA-UCB-6c2cb422-1_Mpro-P0098_0A_3,ADA-UCB-6c2cb422-1,Mpro-P0098,0A,3,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0098_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_3.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.85,18.198183,2.8140163275089867
ADA-UCB-6c2cb422-1_Mpro-P2205_0A_7,ADA-UCB-6c2cb422-1,Mpro-P2205,0A,7,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2205_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_7.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.23000000417232513,-7.522447,2.982351476720768
ADA-UCB-6c2cb422-1_Mpro-P0764_0B_1,ADA-UCB-6c2cb422-1,Mpro-P0764,0B,1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0764_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_1.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,-7.154842,3.0221607554300465
ADA-UCB-6c2cb422-1_Mpro-P2005_0A_-1,ADA-UCB-6c2cb422-1,Mpro-P2005,0A,-1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2005_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.91,-8.481549,2.722149069046822
ADA-UCB-6c2cb422-1_Mpro-P2218_0A_8,ADA-UCB-6c2cb422-1,Mpro-P2218,0A,8,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2218_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_8.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.89,-9.934638,2.7404358763811048
ADA-UCB-6c2cb422-1_Mpro-P2028_1A_0,ADA-UCB-6c2cb422-1,Mpro-P2028,1A,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_1A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,16.064796,2.7180261019284693
ADA-UCB-6c2cb422-1_Mpro-P2028_0A_0,ADA-UCB-6c2cb422-1,Mpro-P2028,0A,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,16.064796,2.7180261019284693
ADA-UCB-6c2cb422-1_Mpro-P2141_0A_5,ADA-UCB-6c2cb422-1,Mpro-P2141,0A,5,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2141_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_5.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.18000000715255737,-5.408215,7.251836827896964
ADA-UCB-6c2cb422-1_Mpro-P2176_0A_4,ADA-UCB-6c2cb422-1,Mpro-P2176,0A,4,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2176_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_4.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.18000000715255737,-6.695166,7.0773189387533755
ADA-UCB-6c2cb422-1_Mpro-P2210_0A_6,ADA-UCB-6c2cb422-1,Mpro-P2210,0A,6,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2210_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_6.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,16.179596,2.7235243327615213
ADA-UCB-6c2cb422-1_Mpro-P2210_0B_6,ADA-UCB-6c2cb422-1,Mpro-P2210,0B,6,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2210_0B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_6.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,-8.810789,2.7240898272767753
ADA-UCB-6c2cb422-1_Mpro-P0394_0A_2,ADA-UCB-6c2cb422-1,Mpro-P0394,0A,2,kinoml_OEDockingFeaturizer_MPRO_Mpro-P0394_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_2.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.18000000715255737,-6.726860,7.283266967325012
ADA-UCB-6c2cb422-1_Mpro-P2028_1B_0,ADA-UCB-6c2cb422-1,Mpro-P2028,1B,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2028_1B_seqres_chainB_ADA-UCB-6c2cb422-1_ligand_0.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.72,-9.152148,2.7219658922411494
ADA-UCB-6c2cb422-1_Mpro-P2185_0A_9,ADA-UCB-6c2cb422-1,Mpro-P2185,0A,9,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2185_0A_seqres_chainA_ADA-UCB-6c2cb422-1_ligand_9.sdf,Mpro-P2005_0A/Mpro-P2005_0A.sdf,0.85,16.324339,2.744818597930071
ALP-POS-133e7cd9-2_Mpro-P3074_0A_-1,ALP-POS-133e7cd9-2,Mpro-P3074,0A,-1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P3074_0A_seqres_chainA_ALP-POS-133e7cd9-2_ligand.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.41999998688697815,26.377943,5.920869805942655
ALP-POS-133e7cd9-2_Mpro-P2295_0A_8,ALP-POS-133e7cd9-2,Mpro-P2295,0A,8,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2295_0A_seqres_chainA_ALP-POS-133e7cd9-2_ligand_8.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.009999999776482582,2.538715,8.289337235609915
ALP-POS-133e7cd9-2_Mpro-P1986_0A_7,ALP-POS-133e7cd9-2,Mpro-P1986,0A,7,kinoml_OEDockingFeaturizer_MPRO_Mpro-P1986_0A_seqres_chainA_ALP-POS-133e7cd9-2_ligand_7.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.33000001311302185,28.583344,6.378989263205924
ALP-POS-133e7cd9-2_Mpro-P1788_0A_6,ALP-POS-133e7cd9-2,Mpro-P1788,0A,6,kinoml_OEDockingFeaturizer_MPRO_Mpro-P1788_0A_seqres_chainA_ALP-POS-133e7cd9-2_ligand_6.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.33000001311302185,28.051767,6.337103654051845
ALP-POS-133e7cd9-2_Mpro-P2263_0A_0,ALP-POS-133e7cd9-2,Mpro-P2263,0A,0,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2263_0A_seqres_chainA_ALP-POS-133e7cd9-2_ligand_0.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.41999998688697815,-3.162740,5.92313362482968
ALP-POS-133e7cd9-2_Mpro-P2295_0B_8,ALP-POS-133e7cd9-2,Mpro-P2295,0B,8,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2295_0B_seqres_chainB_ALP-POS-133e7cd9-2_ligand_8.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.33000001311302185,-6.236415,5.882919175830526
ALP-POS-133e7cd9-2_Mpro-P3050_0B_2,ALP-POS-133e7cd9-2,Mpro-P3050,0B,2,kinoml_OEDockingFeaturizer_MPRO_Mpro-P3050_0B_seqres_chainB_ALP-POS-133e7cd9-2_ligand_2.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.33000001311302185,-3.490017,5.901178590665251
ALP-POS-133e7cd9-2_Mpro-P1986_0B_7,ALP-POS-133e7cd9-2,Mpro-P1986,0B,7,kinoml_OEDockingFeaturizer_MPRO_Mpro-P1986_0B_seqres_chainB_ALP-POS-133e7cd9-2_ligand_7.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.33000001311302185,-2.003752,5.944369269761656
ALP-POS-133e7cd9-2_Mpro-P2215_0A_1,ALP-POS-133e7cd9-2,Mpro-P2215,0A,1,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2215_0A_seqres_chainA_ALP-POS-133e7cd9-2_ligand_1.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.23000000417232513,-2.728797,6.391642238022404
ALP-POS-133e7cd9-2_Mpro-P3054_0A_3,ALP-POS-133e7cd9-2,Mpro-P3054,0A,3,kinoml_OEDockingFeaturizer_MPRO_Mpro-P3054_0A_seqres_chainA_ALP-POS-133e7cd9-2_ligand_3.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.33000001311302185,26.488560,6.0109042298500786
ALP-POS-133e7cd9-2_Mpro-P2070_0A_5,ALP-POS-133e7cd9-2,Mpro-P2070,0A,5,kinoml_OEDockingFeaturizer_MPRO_Mpro-P2070_0A_seqres_chainA_ALP-POS-133e7cd9-2_ligand_5.sdf,Mpro-P3074_0B/Mpro-P3074_0B.sdf,0.33000001311302185,340282346638528859811704183484516925440.000000,6.185281341920597
