PDB ID,Resolution
4RSP,1.62
4WMD,2.585
4WME,1.55
4WMF,1.97
4YLU,2.1
5C3N,3.0
5WKJ,2.05
5WKK,1.55
5WKL,1.85
5WKM,2.25
6VGY,2.05
6VGZ,2.25
6VH0,1.95
6VH1,2.3
6VH2,2.26
6VH3,2.2
7D3C,2.2
7DR8,2.34
7DR9,2.78
7DRA,2.78
7T3Y,1.9
7T3Z,1.95
7T40,1.7
7T41,2.1
7TQ7,1.7
7TQ8,1.65
8CZT,2.1
8CZU,2.7
8CZV,1.95
8DGY,1.65
